x1,x2,x3,x4,y
-1.8378065066632987,-1.8073686598597136,-1.2177197779122668,-1,-9.490244624603836
-3.587508935759164,-3.5464259117578707,-1.5539492923371117,-1,-24.009632318657093
-3.7900347714168205,-3.6939411322434497,-2.540295281843589,-1,-25.42180851676539
-1.5423350598536945,-1.4815083161527183,-1.0729192770169056,-1,-7.6989345818659025
1.2210794834491625,1.1493089926047033,1.1222021258948134,1,5.0724636004195265
2.519298909255532,2.4326186470708593,1.4707593337688216,1,13.170164649794353
-2.7991000504505466,-2.7437440812705187,-1.4179040226522825,-1,-14.74829270633916
5.346287839547744,5.246169751399262,2.413628748686261,1,42.99306428949458
4.776519435269196,4.794632973476368,2.648404838661421,1,37.9172897314553
-1.3565991289065662,-1.2058942467241722,-1.4355050237884854,-1,-5.359215744623309
-6.4979734502921165,-6.389894348342487,-4.052379436609689,-1,-60.77708289070275
5.844476235406341,5.870329538391894,2.248351638449254,1,51.18132483966614
8.101899116380839,7.804747707625341,3.2924164518691312,1,85.58972472336207
0.627803235454784,0.7490170594122799,0.3732327709093296,1,2.4498847494677616
2.053362389690347,1.8731081957412608,1.560911665835637,1,10.051295029834058
-2.2794755526950077,-2.224227491129618,-2.104455491922585,-1,-11.801748995508149
0.9854817200463845,0.7374031035608217,0.7596781785670905,1,4.21354419197574
3.2901579498976434,3.322646699667984,1.699580711771602,1,21.106008019427943
7.646998550180143,7.552077175888666,3.560107924859271,1,79.80677290410759
1.4896165458745625,1.3833845280493822,-0.19521211046700526,1,7.0199697618024635
