Continuous1,Continuous2,Continuous3,Continuous4,Continuous5,IntegerVar,Boolean1,Boolean2,Category
6.376775115106592,0.5732750740816517,0.9653723207422693,7.588186128701785,8.196122225686448,4,false,false,Dog
5.408187954456881,9.797571178657718,4.272603628095379,8.95729489201958,4.056556371973949,6,true,false,Bird
5.295225810397596,0.7334144907132634,6.879253886523557,0.7358692416557688,9.284072451846408,5,false,true,Cat
5.040574495909416,0.6688423205584404,8.50634651563309,5.054670237350342,0.31756012643371356,8,true,false,Cat
0.7315568656413718,1.179438580739478,1.5391558501054947,1.875109928616605,8.43062327807432,2,false,false,Dog
5.2434253149234475,6.985439702369577,6.408674723643289,4.652488932445053,2.3232916148280305,3,false,false,Cat
5.825702729570917,5.15940871899226,9.675765273489935,3.604446909996458,5.555615861180615,3,false,false,Dog
3.4347974200961415,5.467227952817404,7.80140676601332,6.783552282604916,8.676242831301447,6,false,false,Dog
6.546083491977793,7.108129735198645,5.411788019006611,5.968857500025438,4.2204497898281375,6,true,true,Bird
8.78562399418511,4.997737942877415,7.8435615863428785,2.5911927548776115,0.7049937675136475,3,true,false,Cat
7.906665884050902,4.805072043221328,3.8534117575118234,0.9588955682643363,5.885074406233395,4,false,true,Dog
4.025225222188747,0.6242249205919881,3.2173260368859635,6.990314936556841,4.855027593759679,4,true,true,dog
1.3632433478285078,6.690586770200815,9.595293715314007,7.331762381117393,0.5827116032238977,6,false,false,Cat
4.391103715610721,4.433347668612326,0.20421027636354006,0.3105691742216399,3.3462628602594178,4,false,true,Dog
9.377935322421733,1.4053871963499631,2.5348849772259605,3.091111316403925,4.973001371027755,2,false,true,Cat
4.590324602843011,4.588406047865465,6.931930597391844,0.9347824602449484,8.119034425182619,5,true,false,Cat
4.528930931999742,4.229663548939247,3.1489456107168667,7.743182133668618,7.2526269946335775,4,false,false,Cat
3.284211547143988,4.257405944383178,6.267009609464591,4.143616390149978,6.5623732293145185,4,false,false,Dog
4.319843243447617,4.122054183364425,2.9774485490128324,5.214405470309364,4.725214473502203,4,false,false,Cat
6.735502379794389,8.853268825786142,0.06795205113309333,4.990564229259519,2.7075446884722556,3,false,true,Dog
7.159267620152335,0.4148640677806026,2.565528143448504,3.596129192335723,2.750521879192449,6,false,false,Bird
5.862709425210656,1.6742223666389489,5.651670831246479,5.409912711067484,9.09493735070067,4,true,true,Cat
5.016660437653342,5.3019049751976075,5.4285195389707885,3.796047168395483,6.449810597935432,8,true,false,Dog
6.262979043530147,7.065136178388519,7.998574158928761,3.4497513022497883,8.291909184560025,3,false,false,Dog
7.049803790271659,2.5252651809455884,5.4991862867062755,1.3698534508569205,9.56310679303111,2,false,true,Dog
6.989322580874141,8.990788243550998,9.308717495102902,5.302465291184219,5.538795979250462,6,false,true,Dog
4.688327761262759,3.1112409641479255,5.027779785881551,4.526331118613729,2.5591876564641325,6,false,false,Cat
3.3259233784989806,3.100076096431017,5.775558736449334,1.4365360446095865,3.2484293211361126,3,false,false,Dog
8.228764100178909,0.6279613519972982,3.5211344605986286,1.2319182094056147,5.051333936260339,6,true,false,cat
4.700628654314568,4.079552128710451,5.007243281288765,2.3471185790567106,1.9748444893605577,5,false,true,Dog
5.74791231274277,2.487257630717994,6.3458186983691265,2.415623248316787,6.315599768311514,2,false,false,Bird
1.1873956736798197,0.23087177522400415,9.093256230535022,2.6967452062248154,5.455673829932831,6,false,false,Cat
1.670057763556303,7.30348248735438,9.043702312576293,9.702414419567674,8.372232767647187,6,false,true,Cat
9.451145059556488,4.262791300067975,8.621587387763173,7.079049172974166,9.026244614343925,2,false,false,Dog
8.732416465157513,9.074359104701049,1.9795248458073478,7.085066886029374,1.4770517013680762,5,false,false,Cat
9.731560172938932,6.821264515199259,2.2296957044745813,4.213976259266541,7.7171963408338105,2,true,false,Cat
6.733164489389727,8.062288791425354,5.780136306873988,1.2739098874445942,5.547950461765799,4,false,false,Bird
7.462728243953278,1.9252340812873825,6.373569911331325,6.086099719112063,3.2251972160120133,7,false,false,Bird
